2025-08-23 01:47:11,282 | DEBUG   | scraper.domain_scorer | Domain score for mitsui toatsu chemicals  and kuraray.com: 28 (base: 28, penalty: 0)
2025-08-23 01:47:11,282 | DEBUG   | scraper.domain_scorer | Domain score for mitsui toatsu chemicals  and globaldata.com: 30 (base: 30, penalty: 0)
2025-08-23 01:47:11,282 | DEBUG   | scraper.domain_scorer | Domain score for mitsui toatsu chemicals  and jp.mitsuichemicals.com: 88 (base: 88, penalty: 0)
2025-08-23 01:47:11,283 | DEBUG   | scraper.domain_scorer | Domain score for mitsui toatsu chemicals  and www3.epa.gov: 33 (base: 33, penalty: 0)
2025-08-23 01:47:11,283 | DEBUG   | scraper.domain_scorer | Domain score for mitsui toatsu chemicals  and bccresearch.com: 36 (base: 36, penalty: 0)
2025-08-23 01:47:11,283 | DEBUG   | scraper.domain_scorer | Domain score for mitsui toatsu chemicals  and carlyle.com: 54 (base: 54, penalty: 0)
2025-08-23 01:47:11,283 | DEBUG   | scraper.domain_scorer | Domain score for mitsui toatsu chemicals  and mc-croplifesolutions.com: 45 (base: 45, penalty: 0)
2025-08-23 01:47:11,283 | DEBUG   | scraper.domain_scorer | Domain score for mitsui toatsu chemicals  and agc.com: 33 (base: 33, penalty: 0)
2025-08-23 01:47:11,283 | DEBUG   | scraper.domain_scorer | Domain score for mitsui toatsu chemicals  and pubmed.ncbi.nlm.nih.gov: 40 (base: 40, penalty: 0)
2025-08-23 01:47:11,283 | DEBUG   | scraper.domain_scorer | Domain score for mitsui toatsu chemicals  and andersondevelopment.com: 25 (base: 25, penalty: 0)
2025-08-23 01:47:11,283 | DEBUG   | scraper.domain_scorer | Best domain for mitsui toatsu chemicals : https://jp.mitsuichemicals.com/en/corporate/number/index.htm (score: 88)
2025-08-23 01:47:11,284 | INFO    | scraper.async_orchestrator | [ORCHESTRATOR] Domain scoring complete: mitsui toatsu chemicals  -> https://jp.mitsuichemicals.com/en/corporate/number/index.htm (score=88)
2025-08-23 01:47:11,284 | DEBUG   | scraper.async_orchestrator | [TRACE] Domain scored for mitsui toatsu chemicals : https://jp.mitsuichemicals.com/en/corporate/number/index.htm
2025-08-23 01:47:11,284 | INFO    | scraper.async_orchestrator | [ORCHESTRATOR] Domain passed threshold for mitsui toatsu chemicals : 88 >= 65
2025-08-23 01:47:11,284 | INFO    | scraper.async_orchestrator | [ORCHESTRATOR] Normalized domain: https://jp.mitsuichemicals.com/en/corporate/number/index.htm -> jp.mitsuichemicals.com
2025-08-23 01:47:11,284 | INFO    | scraper.async_orchestrator | [ORCHESTRATOR] Creating domain task: jp.mitsuichemicals.com for company mitsui toatsu chemicals 
